step,loss
1,1.9244
2,1.7704
3,1.707
4,7.4699
5,1.6258
6,1.258
7,1.2882
8,1.1537
9,1.5702
10,1.3276
11,1.1197
12,1.0339
13,0.8829
14,7.8694
15,0.9343
16,1.1397
17,1.3169
18,1.115
19,0.8681
20,0.793
21,0.9214
22,0.8557
23,0.9959
24,0.9169
25,0.8807
101,0.7925
102,0.7169
103,0.8643
104,0.5583
105,0.7932
106,0.672
107,10.4394
108,0.8014
109,9.4973
110,0.74
111,0.605
112,0.6952
113,0.6469
114,0.8107
115,0.7334
116,0.7288
117,0.6759
118,0.8438
119,0.5603
120,0.8075
121,0.8119
122,0.6375
123,0.4483
124,0.6389
125,0.6826
201,0.5535
202,0.7014
203,0.3885
204,0.494
205,0.5628
206,0.5237
207,0.641
208,9.0776
209,0.7985
210,6.7447
211,0.6034
212,0.572
213,0.5024
214,0.5778
215,0.6703
216,0.5173
217,0.7167
218,0.6184
219,0.4986
220,0.5425
221,0.3687
222,0.5324
223,0.4771
224,0.4951
225,0.6633
