step,loss
10,2.3613
20,2.3752
30,2.3563
40,2.3416
50,2.3043
60,2.2919
70,2.276
80,2.2707
90,2.2172
100,2.1695
110,2.1587
120,2.156
130,2.0885
140,2.0427
150,2.0019
160,1.9814
170,1.95
180,1.8987
190,1.8626
200,1.8397
210,1.7782
220,1.7268
230,1.6673
240,1.6497
250,1.5901
260,1.54
270,1.5042
280,1.4854
290,1.5002
300,1.4439
310,1.4789
320,1.4549
330,1.415
340,1.3648
350,1.3993
360,1.4008
370,1.3525
380,1.3325
390,1.3425
400,1.3293
410,1.3274
420,1.3045
430,1.3285
440,1.2399
450,1.3087
460,1.2697
470,1.2798
480,1.2793
490,1.2424
500,1.2751
510,1.2064
520,1.2751
530,1.252
540,1.2368
550,1.2771
560,1.1994
570,1.1301
580,1.1208
590,1.0544
600,1.0576
610,1.0136
620,1.0296
630,0.9766
640,0.9618
650,0.9453
660,0.9696
670,0.8815
680,0.8852
690,0.9129
700,0.8597
710,0.8896
720,0.9156
730,0.8557
740,0.8621
750,0.8628
760,0.8424
770,0.8528
780,0.857
790,0.8195
800,0.826
810,0.8279
820,0.8258
830,0.8239
840,0.8137
850,0.8154
860,0.7796
870,0.8156
880,0.7727
890,0.7949
900,0.7795
910,0.816
920,0.796
930,0.8102
940,0.7782
950,0.7855
960,0.7787
970,0.7714
980,0.7853
990,0.7814
1000,0.7727
1010,0.7903
1020,0.7851
1030,0.766
1040,0.7856
1050,0.759
1060,0.7518
1070,0.7645
1080,0.7499
1090,0.7316
1100,0.741
1110,0.7431
1120,0.7125
1130,0.6992
1140,0.7448
1150,0.7031
1160,0.7565
1170,0.7285
1180,0.7342
1190,0.7185
1200,0.7126
1210,0.7215
1220,0.7173
1230,0.7335
1240,0.6925
1250,0.723
1260,0.7275
1270,0.709
1280,0.6979
1290,0.7258
1300,0.6929
1310,0.7031
1320,0.6947
1330,0.6968
1340,0.6849
1350,0.7026
1360,0.7021
1370,0.7139
1380,0.7023
1390,0.7208
1400,0.7021
1410,0.704
1420,0.7348
1430,0.694
1440,0.7256
1450,0.6931
1460,0.7111
1470,0.7084
1480,0.7102
1490,0.7105
1500,0.7439
1510,0.6859
1520,0.7001
1530,0.6871
1540,0.6923
1550,0.679
1560,0.7016
1570,0.6915
1580,0.6856
1590,0.7039
1600,0.6977
1610,0.7204
1620,0.6622
1630,0.7003
1640,0.6708
1650,0.6707
1660,0.6831
1670,0.6944
1680,0.6839
1690,0.6942
1700,0.6807
1710,0.711
1720,0.6921
1730,0.6582
1740,0.689
1750,0.6859
1760,0.6708
1770,0.6877
1780,0.6728
1790,0.6916
1800,0.6651
1810,0.6757
1820,0.6657
1830,0.6715
1840,0.6867
1850,0.6698
1860,0.6934
1870,0.6572
1880,0.6668
1890,0.6877
1900,0.6697
1910,0.6813
1920,0.6939
1930,0.654
1940,0.6579
1950,0.6786
1960,0.6714
1970,0.6914
1980,0.6742
1990,0.707
2000,0.6655
2010,0.6697
2020,0.6709
2030,0.6872
2040,0.685
2050,0.68
2060,0.6858
2070,0.6633
2080,0.6795
2090,0.6789
2100,0.6848
2110,0.6715
2120,0.6875
2130,0.6948
2140,0.655
2150,0.6508
